,user_id,game_use,rec_use,studio_use,exercise_use,office_use,podcast_use,travel_use,other_use,sound_quality_importance,positional_importance,loud_importance,mic_importance,wireless_importance,noise_cancel_importance,in_ear_importance,on_ear_importance,over_ear_importance,no_pref_oninover,price_sensitivity,min_price,max_price,headphone_name,price,attached_mic,recording_quality,noise_handling,Impedance,sensitivity(dbv),accuracy,weighted_harmonic_distortion,soundstage,imaging,noise_isolation,wireless,over_ear_style,on_ear_style,in_ear_style,open_back,close_back,semiclosed_back
89,89,0,0,0,0,0,0,0,0,9,7,4,9.1,9.1,10,0,0,0,1,5,0,142.8571429,89,100,0,0,0,50,113.6174851,0.538919293,0.809720166,0.984841406,0.529683025,0.632601479,4,1,0,0,0,1,0
90,90,0,0,0,1,1,1,0,1,8,0,3,0,3,8,1,0,0,0,1,0,250,90,100,0,0,0,300,94.92970959,0.991994919,0.699709869,0.580492203,0.552848416,0.768351968,0,0,0,1,0,0,0
91,91,0,0,1,0,0,1,1,0,7,4,6,4,4,5,1,0,0,0,2,0,111.1111111,91,100,0,0,0,40,102.8332004,0.780448461,0.519491383,0.943912216,0.539196482,0.536299039,6,1,0,0,0,1,0
92,92,1,0,1,0,1,1,1,0,8,8,5,9,1,9,1,0,1,0,1,0,500,92,200,1,0.6499,0.787601916,40,104.8961944,0.773534554,0.796651513,0.597660543,0.558436437,0.651205702,0,0,1,0,0,1,0
93,93,0,0,0,0,1,0,1,0,6,8,5,4,3,7,0,0,0,1,7,0,200,93,300,0,0,0,40,110.3628373,0.66283595,0.995025678,0.562174637,0.749145531,0.678227112,4,1,0,0,0,1,0
94,94,1,1,0,0,0,0,0,0,6,8,0,7,5,3,0,1,1,0,5,0,166.6666667,94,50,0,0,0,40,128.6537923,0.881178626,0.610967675,0.790822236,0.658187561,0.206636766,5,1,0,0,0,0,1
95,95,0,0,0,0,0,0,1,0,9,7,2,9.1,0,9,0,0,0,1,9.1,0,166.6666667,95,100,1,0.4988,0.511351724,10,97.05068805,0.678839208,0.555791653,0.748241987,0.626644362,0.517218315,0,1,0,0,0,1,0
96,96,1,1,1,0,0,1,0,0,8,9,6,6,4,2,0,0,0,1,0,0,166.6666667,96,300,0,0,0,30,104.6659382,0.725387861,0.549059857,0.770924145,0.501593978,0.882925122,3,0,0,1,0,1,0
97,97,0,1,1,1,1,1,1,0,7,8,6,6,7,8,1,1,0,0,3,0,500,97,300,0,0,0,150,107.9957983,0.825860011,0.524906211,0.8190234,0.837159441,0.604527941,0,1,0,0,0,1,0
98,98,0,0,1,1,0,1,0,0,7,1,9.1,7,6,9,1,0,0,1,2,0,142.8571429,98,100,0,0,0,50,122.9280248,0.538886247,0.867148601,0.726699609,0.865430864,0.777030172,6,1,0,0,0,1,0
99,99,0,1,1,0,0,0,1,0,8,9.1,6,2,9.1,9,0,0,1,0,2,0,99.00990099,99,100,0,0,0,40,105.1961233,0.594065973,0.860950524,0.828783502,0.680353269,0.798660253,4,0,0,0,0,1,0
